lat,lon,"Electrical Distribution Grid"
-14.00336645512,33.294067382812,1
-13.992706376876,33.294067382812,1
-13.950061124781,33.338012695312,1
-14.01402603876,33.338012695312,1
-13.928735540111,33.338012695312,1
-13.96072317798,33.338012695312,1
-13.97138473796,33.338012695312,1
-14.02468512745,33.338012695312,1
-13.939398578709,33.338012695312,1
-13.992706376876,33.348999023438,1
-13.97138473796,33.348999023438,1
-14.02468512745,33.348999023438,1
-13.928735540111,33.348999023438,1
-13.982045804374,33.348999023438,1
-14.01402603876,33.348999023438,1
-13.992706376876,33.359985351562,1
-14.02468512745,33.359985351562,1
-14.00336645512,33.359985351562,1
-14.035343720844,33.359985351562,1
-13.982045804374,33.359985351562,1
-14.01402603876,33.359985351562,1
-14.01402603876,33.316040039062,1
-14.01402603876,33.392944335938,1
-14.035343720844,33.392944335938,1
-14.02468512745,33.392944335938,1
-14.046001818596,33.392944335938,1
-14.00336645512,33.557739257812,1
-14.01402603876,33.480834960938,1
-14.035343720844,33.480834960938,1
-14.02468512745,33.480834960938,1
-14.02468512745,33.513793945312,1
-14.01402603876,33.513793945312,1
-13.950061124781,33.601684570312,1
-13.982045804374,33.601684570312,1
-13.928735540111,33.601684570312,1
-14.035343720844,33.601684570312,1
-13.97138473796,33.601684570312,1
-13.939398578709,33.601684570312,1
-13.992706376876,33.601684570312,1
-14.046001818596,33.601684570312,1
-14.05665942036,33.601684570312,1
-13.982045804374,33.634643554688,1
-14.17386020579,33.634643554688,1
-13.97138473796,33.634643554688,1
-13.992706376876,33.634643554688,1
-14.163208082684,33.634643554688,1
-13.992706376876,33.623657226562,1
-13.96072317798,33.623657226562,1
-13.97138473796,33.623657226562,1
-13.982045804374,33.623657226562,1
-13.928735540111,33.678588867188,1
-14.205813572952,33.678588867188,1
-13.950061124781,33.678588867188,1
-13.982045804374,33.678588867188,1
-14.01402603876,33.678588867188,1
-13.939398578709,33.678588867188,1
-13.992706376876,33.678588867188,1
-14.163208082684,33.678588867188,1
-13.96072317798,33.678588867188,1
-14.02468512745,33.678588867188,1
-13.928735540111,33.733520507812,1
-14.00336645512,33.733520507812,1
-14.205813572952,33.733520507812,1
-13.950061124781,33.733520507812,1
-14.01402603876,33.733520507812,1
-14.34422592369,33.733520507812,1
-13.939398578709,33.733520507812,1
-14.216463693472,33.733520507812,1
-14.227113312483,33.733520507812,1
-13.96072317798,33.733520507812,1
-13.97138473796,33.733520507812,1
-14.02468512745,33.733520507812,1
-13.96072317798,33.744506835938,1
-13.97138473796,33.744506835938,1
-14.333581843969,33.744506835938,1
-13.939398578709,33.744506835938,1
-14.227113312483,33.744506835938,1
-13.950061124781,33.744506835938,1
-13.982045804374,33.744506835938,1
-14.01402603876,33.744506835938,1
-14.184511828767,33.744506835938,1
-14.34422592369,33.744506835938,1
-13.928735540111,33.744506835938,1
-14.00336645512,33.744506835938,1
-14.17386020579,33.744506835938,1
-14.237762429643,33.744506835938,1
-14.01402603876,33.579711914062,1
-13.982045804374,33.579711914062,1
