		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		-   	149.425  	173.521  	155.556  	149.305  	124.789  	174.831  	152.025  	117.511  	117.511  	147.945  	156.104  	
2		-   	148.079  	171.491  	156.104  	162.385  	124.178  	174.831  	147.945  	117.511  	117.511  	148.621  	156.104  	
3		164.768  	147.945  	170.629  	156.104  	156.798  	118.113  	175.708  	147.945  	117.511  	117.511  	155.420  	156.104  	
4		167.612  	147.945  	160.846  	156.104  	156.104  	117.511  	176.586  	147.945  	117.511  	117.511  	155.829  	156.104  	
5		168.614  	147.945  	156.380  	155.420  	156.104  	117.511  	176.586  	147.945  	117.511  	117.511  	153.088  	156.104  	
6		168.041  	147.945  	157.486  	148.620  	156.798  	117.511  	176.586  	147.945  	117.511  	117.511  	154.459  	156.242  	
7		167.470  	148.752  	156.242  	147.945  	163.078  	117.511  	176.586  	147.945  	117.511  	117.511  	156.519  	156.108  	
8		162.232  	149.694  	156.659  	147.945  	156.798  	117.511  	175.569  	147.945  	117.511  	117.511  	162.376  	155.967  	
9		158.736  	151.183  	160.134  	147.945  	155.420  	117.511  	165.483  	147.945  	117.511  	117.511  	164.202  	156.104  	
10		158.736  	153.636  	158.202  	147.945  	155.493  	117.511  	164.484  	147.945  	117.511  	119.345  	161.386  	155.280  	
11		161.808  	159.380  	154.592  	145.336  	161.875  	117.511  	164.484  	147.945  	117.511  	138.748  	159.434  	154.455  	
12		162.650  	194.094  	155.279  	119.974  	173.084  	117.511  	164.484  	147.945  	117.511  	151.359  	157.763  	154.318  	
13		161.106  	190.813  	155.967  	117.511  	171.793  	121.917  	164.484  	147.945  	117.511  	156.104  	157.763  	152.951  	
14		158.597  	169.006  	156.933  	117.511  	167.559  	168.374  	163.781  	147.945  	117.511  	156.798  	158.596  	152.814  	
15		155.144  	149.844  	157.763  	117.511  	174.831  	175.563  	156.798  	147.945  	117.511  	163.781  	157.905  	152.814  	
16		151.726  	153.910  	158.180  	117.511  	174.831  	176.586  	156.104  	145.336  	117.511  	164.484  	157.624  	153.225  	
17		153.909  	154.459  	161.671  	119.974  	174.831  	176.586  	155.420  	119.974  	117.511  	164.484  	157.486  	157.349  	
18		158.876  	160.432  	156.799  	142.726  	176.150  	176.586  	148.620  	117.511  	117.511  	163.781  	153.909  	158.596  	
19		159.152  	166.039  	157.071  	119.974  	176.361  	176.586  	147.945  	118.724  	117.511  	156.798  	152.542  	159.430  	
20		156.381  	150.107  	157.624  	117.511  	150.279  	176.440  	147.945  	131.038  	117.511  	156.104  	150.236  	159.430  	
21		156.104  	154.045  	158.041  	118.113  	147.945  	172.370  	147.945  	132.288  	117.511  	156.104  	152.409  	159.430  	
22		156.104  	154.592  	160.967  	123.567  	148.621  	169.618  	147.945  	131.038  	117.511  	155.420  	152.819  	158.596  	
23		155.967  	155.829  	167.507  	119.946  	155.420  	169.618  	147.945  	118.724  	117.511  	148.620  	153.635  	157.763  	
24		154.592  	157.359  	169.476  	105.338  	156.104  	169.618  	147.945  	117.511  	117.511  	147.945  	152.814  	156.109  	
25		154.730  	169.408  	164.910  	103.615  	155.420  	169.618  	148.621  	117.511  	117.511  	147.945  	154.459  	154.455  	
26		156.798  	176.293  	165.196  	104.755  	148.620  	169.906  	155.420  	117.511  	117.511  	147.945  	156.104  	154.455  	
27		150.104  	174.688  	170.930  	121.862  	147.945  	171.349  	156.104  	117.511  	117.511  	147.945  	156.104  	154.455  	
28		148.079  	178.942  	160.294  	149.369  	145.974  	173.668  	156.104  	117.511  	117.511  	147.945  	156.104  	154.455  	
29		148.079  	178.060  	149.305  	148.620  	126.678  	174.831  	156.104  	117.511  	117.511  	147.945  	156.104  	154.455  	
30		149.425  	174.686  	147.945  	         	124.789  	174.831  	156.104  	117.511  	117.511  	147.945  	156.104  	154.455  	
31		         	171.926  	149.295  	         	124.789  	         	156.104  	         	117.511  	147.945  	         	154.455  	
