		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		187.758  	180.420  	194.804  	191.581  	216.965  	185.345  	181.608  	181.905  	-   	185.495  	173.084  	171.346  	
2		182.827  	181.756  	215.343  	196.173  	197.769  	185.495  	181.905  	181.905  	-   	185.495  	173.084  	171.346  	
3		184.648  	181.905  	277.110  	199.511  	189.425  	182.809  	181.905  	181.905  	-   	184.595  	173.084  	171.491  	
4		190.946  	183.700  	409.410  	235.765  	188.212  	180.123  	183.700  	181.905  	-   	183.696  	173.084  	172.939  	
5		190.946  	185.948  	342.327  	293.089  	187.152  	181.163  	185.495  	181.905  	183.696  	184.595  	173.084  	173.084  	
6		190.033  	190.490  	252.204  	288.827  	185.646  	183.546  	187.308  	181.014  	184.595  	184.895  	173.084  	173.957  	
7		189.120  	190.794  	211.561  	287.869  	184.595  	183.696  	189.120  	180.123e 	185.495  	186.248  	173.084  	174.831  	
8		189.120  	189.272  	190.964  	304.496  	183.546  	183.696  	189.120  	-   	185.495  	186.701  	173.084  	173.957  	
9		189.120  	188.212  	193.559  	257.148  	182.054  	185.057  	189.120  	-   	184.446  	181.611  	173.084  	173.957  	
10		189.272  	187.606  	196.477  	212.173  	181.905  	194.494  	188.818  	-   	182.054  	181.756  	173.084  	173.957  	
11		191.711  	190.642  	196.477  	206.034  	183.700  	185.199  	185.796  	-   	181.905  	181.460  	174.104  	173.230  	
12		192.475  	190.946  	196.477  	204.451  	185.495  	183.696  	185.495  	-   	181.905  	176.150  	176.440  	173.812  	
13		189.273  	190.794  	196.632  	200.522  	185.495  	183.696  	185.495  	-   	181.905  	174.831  	176.440  	173.957  	
14		187.455  	189.272  	198.183  	200.208  	185.495  	183.696  	184.595  	-   	181.905  	173.957  	175.123  	174.685  	
15		187.303  	188.818  	198.650  	199.273  	185.495  	183.696  	183.696  	-   	181.608  	173.084  	175.562  	173.230  	
16		187.303  	185.796  	202.718  	197.099  	185.495  	184.746  	183.996  	-   	177.617  	173.084  	173.957  	173.084  	
17		187.303  	185.495  	209.731  	192.324  	185.495  	187.002  	188.976  	-   	175.563  	173.084  	173.230  	173.084  	
18		187.303  	185.646  	216.462  	192.781  	185.495  	185.646  	192.322  	-   	181.312  	173.084  	174.539  	173.084  	
19		187.303  	187.152  	215.492  	194.471  	185.495  	185.495  	189.425  	-   	181.905  	173.230  	173.230  	173.084  	
20		187.455  	187.303  	208.446  	193.856  	185.495  	185.495  	189.120  	-   	182.950  	174.685  	172.363  	173.084  	
21		188.969  	188.212  	200.522  	194.317  	185.495  	185.495  	190.951  	-   	185.345  	174.831  	165.765  	173.084  	
22		189.120  	189.120  	194.664  	189.291  	183.700  	185.495  	192.781  	-   	184.745  	174.831  	171.496  	173.084  	
23		190.033  	189.120  	189.272  	190.986  	181.905  	185.495  	192.781  	-   	186.249  	174.685  	171.491  	173.084  	
24		190.946  	189.120  	190.642  	194.783  	181.905  	185.495  	191.711  	-   	187.909  	173.230  	171.202  	173.084  	
25		190.946  	189.120  	189.272  	194.317  	181.905  	185.345  	188.062  	-   	184.897  	173.084  	169.762  	173.084  	
26		185.535  	190.033  	189.425  	192.935  	184.604  	183.696  	182.803  	-   	183.696  	173.084  	169.618  	173.084  	
27		180.123  	190.946  	192.475  	193.407  	187.303  	180.868  	177.178  	-   	183.845  	173.084  	169.618  	173.084  	
28		180.123  	190.946  	209.691  	208.915  	187.002  	176.002  	179.240  	-   	185.345  	173.084  	170.482  	173.084  	
29		179.975  	190.946  	295.879  	         	183.995  	174.831  	183.397  	-   	184.745  	173.084  	171.346  	173.084  	
30		180.126  	190.794  	229.151  	         	183.696  	176.886  	182.800  	-   	185.345  	173.084  	171.346  	168.784  	
31		         	190.185  	209.556  	         	183.845  	         	181.905  	         	185.495  	173.084  	         	164.484  	
