		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		154.455  	157.486  	159.294  	365.676  	392.167  	399.418  	157.763  	141.576  	149.425  	159.430  	159.430  	156.519  	
2		154.455  	156.109  	160.826  	368.426  	394.348  	399.861  	157.763  	141.576  	149.694  	159.430  	158.596  	156.933  	
3		154.455  	154.592  	161.106  	370.553  	396.769  	404.298  	157.763  	141.576  	151.047  	160.268  	157.901  	157.763  	
4		154.455  	154.458  	161.386  	370.765  	397.652  	405.189  	157.763  	141.576  	152.819  	161.106  	159.291  	157.763  	
5		154.455  	153.771  	164.060  	370.765  	394.568  	409.880  	157.763  	141.576  	154.455  	161.106  	159.430  	157.763  	
6		154.455  	155.829  	158.764  	370.979  	396.549  	409.883  	157.763  	143.160  	154.455  	161.948  	159.430  	158.596  	
7		154.455  	156.104  	154.455  	373.326  	400.756  	407.419  	157.763  	143.177  	154.455  	162.790  	159.430  	159.430  	
8		154.455  	156.104  	155.832  	377.185  	404.743  	407.195  	157.763  	143.530  	154.592  	162.790  	159.430  	159.430  	
9		154.455  	156.104  	156.107  	380.413  	404.743  	404.966  	157.763  	157.763  	155.829  	162.790  	160.268  	159.430  	
10		154.455  	156.104  	156.107  	376.325  	404.743  	404.966  	157.763  	157.763  	154.592  	162.650  	161.106  	158.596  	
11		154.455  	156.104  	154.730  	375.895  	402.080  	407.643  	157.763  	157.763  	154.592  	161.246  	161.106  	157.763  	
12		154.455  	156.104  	155.832  	376.110  	400.747  	411.001  	157.763  	157.763  	153.284  	161.246  	161.106  	157.763  	
13		154.455  	156.798  	156.107  	382.637  	402.298  	409.879  	157.763  	157.763  	142.983  	162.650  	161.948  	157.763  	
14		154.455  	163.923  	156.107  	436.722  	404.520  	407.642  	157.763  	157.763  	156.381  	162.790  	161.110  	157.763  	
15		154.455  	166.187  	156.107  	411.513  	404.520  	406.973  	157.211  	157.763  	155.849  	161.948  	159.430  	157.763  	
16		154.455  	168.042  	156.107  	436.685  	402.520  	394.149  	150.390  	157.763  	161.115  	161.106  	159.291  	156.522  	
17		154.455  	171.058  	154.730  	501.641  	404.520  	312.905  	137.166  	157.763  	162.790  	161.246  	157.901  	151.591  	
18		154.455  	172.070  	154.455  	406.135  	404.743  	359.704  	141.055  	157.763  	162.790  	162.650  	158.596  	141.482  	
19		154.455  	171.347  	170.003  	576.739  	403.188  	370.558  	141.576  	157.763  	162.790  	161.948  	160.268  	130.394  	
20		154.455  	170.482  	343.906  	578.503  	400.968  	373.326  	141.840  	157.763  	162.790  	161.106  	160.966  	132.035  	
21		154.455  	170.050  	363.137  	440.408  	402.076  	373.754  	144.479  	157.763  	162.790  	161.106  	159.569  	130.897  	
22		154.455  	171.926  	363.137  	375.895  	402.298  	378.044  	144.743  	157.763  	162.790  	161.948  	159.709  	130.770  	
23		154.455  	171.346  	363.137  	375.895  	404.520  	378.473  	143.160  	157.349  	162.790  	162.088  	162.510  	131.278  	
24		154.455  	171.346  	363.137  	375.681  	406.081  	378.473  	141.576  	153.225  	162.790  	162.650  	162.790  	136.379  	
25		154.455  	170.626  	363.137  	373.326  	407.195  	373.344  	141.576  	152.951  	162.790  	162.650  	162.650  	137.022  	
26		154.455  	171.058  	363.137  	370.979  	404.966  	370.770  	141.576  	154.868  	162.790  	161.246  	161.246  	136.767  	
27		154.455  	169.762  	363.137  	370.765  	404.743  	353.798  	141.576  	152.272  	161.948  	161.106  	161.106  	135.477  	
28		154.455  	169.618  	363.560  	372.697  	405.412  	176.668  	141.576  	151.318  	161.106  	161.106  	161.106  	136.764  	
29		154.455  	169.618  	366.308  	         	400.083  	158.040  	141.576  	152.271  	161.807  	161.106  	161.106  	137.022  	
30		154.730  	167.051  	363.348  	         	399.418  	157.763  	141.576  	148.484  	161.246  	160.966  	160.687  	133.977  	
31		         	164.061  	363.137  	         	399.418  	         	141.576  	         	160.268  	159.569  	         	125.285  	
