		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		620.372  	-   	577.804  	762.415  	756.299  	802.106  	808.713  	766.701  	733.006  	647.150  	499.214  	488.876  	
2		623.134  	-   	577.804  	767.627  	759.046  	791.775  	817.253  	763.634  	733.905  	648.279  	493.540  	488.876  	
3		623.411  	-   	577.804  	775.323  	756.299  	786.790  	822.967  	763.328  	730.605  	647.150  	490.102  	488.876  	
4		623.411  	-   	579.404  	769.163  	755.689  	776.869  	821.378  	763.328  	727.312  	647.150  	485.943  	488.876  	
5		623.411  	-   	582.608  	758.140  	752.644  	775.941  	819.471  	763.328  	727.312  	649.972  	483.262  	488.876  	
6		623.411  	-   	585.018  	752.340  	752.340  	774.705  	815.354  	763.328  	730.006  	650.255  	483.262  	488.876  	
7		623.411  	-   	592.814  	750.518  	752.036  	776.250  	808.397  	763.022  	725.521  	649.972  	485.943  	488.876  	
8		623.411  	-   	587.978  	748.392  	748.999  	776.250  	806.192  	759.962  	723.431  	645.466  	488.876  	488.876  	
9		623.411  	-   	608.114  	745.362  	748.695  	772.239  	802.418  	759.351  	725.521  	628.135  	491.573  	488.876  	
10		623.134  	-   	678.065  	745.059  	746.877  	765.169  	800.534  	756.299  	726.420  	536.332  	490.347  	488.876  	
11		620.372  	-   	707.434  	746.877  	745.059  	761.492  	802.418  	755.994  	721.646  	338.049  	488.876  	488.876  	
12		618.442  	-   	713.033  	748.999  	745.059  	761.186  	800.538  	755.689  	735.111  	323.207  	488.876  	488.876  	
13		616.789  	-   	719.565  	752.036  	745.362  	759.965  	794.585  	752.340  	725.223  	323.603  	488.876  	488.876  	
14		615.140  	-   	730.924  	752.340  	748.696  	762.719  	788.968  	748.999  	730.606  	323.603  	488.876  	488.876  	
15		613.217  	-   	830.518  	752.340  	752.036  	765.495  	780.582  	748.695  	737.212  	321.617  	488.876  	488.876  	
16		610.476  	-   	913.880  	752.340  	752.340  	772.862  	777.485  	748.392  	737.814  	321.419  	488.876  	488.876  	
17		610.476  	-   	963.206  	752.949  	752.340  	776.249  	771.007  	745.362  	737.513  	321.419  	488.876  	488.876  	
18		615.141  	-   	1007.683  	759.352  	754.167  	776.558  	767.009  	745.059  	732.705  	321.419  	488.876  	488.876  	
19		619.820  	-   	1027.854  	763.328  	755.994  	778.723  	763.941  	745.059  	723.466  	321.419  	488.876  	488.876  	
20		620.372  	-   	1029.274  	764.861  	758.744  	785.546  	766.395  	746.877  	684.633  	321.419  	488.876  	488.876  	
21		634.863  	-   	1022.524  	760.882  	770.084  	792.085  	766.090  	746.273  	682.873  	321.419  	488.876  	488.876  	
22		646.024  	-   	998.220  	755.386  	774.088  	789.902  	773.780  	736.312  	684.031  	321.419  	489.121  	488.631  	
23		633.423  	-   	956.746  	763.023  	774.396  	794.585  	773.780  	730.605  	676.517  	324.027  	490.102  	485.943  	
24		619.272  	-   	872.115  	766.701  	772.855  	798.967  	769.468  	727.312  	672.199  	382.858  	488.876  	481.804  	
25		616.789  	-   	858.017  	767.008  	774.396  	803.989  	770.390  	726.714  	665.322  	524.952  	488.876  	478.414  	
26		616.789  	-   	846.711  	764.862  	778.724  	804.303  	767.316  	723.729  	655.921  	578.871  	488.876  	461.615  	
27		616.789  	-   	806.530  	759.962  	790.842  	802.418  	770.702  	723.431  	653.367  	562.541  	488.876  	459.707  	
28		616.789  	-   	789.594  	757.825  	804.628  	800.848  	774.088  	721.644  	650.255  	546.828  	488.876  	455.221  	
29		616.789  	-   	775.022  	         	817.569  	805.878  	771.006  	719.857  	647.150  	519.475  	488.876  	433.984  	
30		628.455  	-   	767.009  	         	809.029  	808.082  	770.390  	721.050  	647.150  	504.954  	488.876  	431.899  	
31		         	-   	758.749  	         	807.767  	         	767.316  	         	649.690  	503.926  	         	431.899  	
