		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		335.850  	311.391  	368.426  	607.565  	620.386  	821.065  	865.176  	865.829  	840.561  	759.962  	723.133  	673.635  	
2		335.850  	310.610  	367.815  	560.920  	613.492  	815.982  	863.872  	867.462  	834.781  	759.656  	720.155  	671.049  	
3		335.850  	310.221  	341.166  	563.300  	608.564  	815.349  	865.832  	866.482  	833.180  	759.656  	719.560  	669.042  	
4		335.850  	316.090  	341.142  	600.429  	610.497  	811.870  	862.572  	866.158  	832.860  	759.656  	716.589  	667.322  	
5		335.850  	316.679  	347.503  	562.092  	640.781  	807.453  	861.591  	872.047  	829.343  	757.825  	712.741  	667.322  	
6		335.850  	316.679  	347.709  	519.241  	716.246  	798.340  	862.242  	868.770  	828.704  	754.167  	709.190  	665.606  	
7		335.850  	316.090  	343.596  	492.093  	859.985  	803.675  	863.872  	868.443  	827.427  	750.518  	709.190  	663.890  	
8		335.648  	313.742  	343.597  	471.179  	987.757  	804.303  	864.850  	870.406  	825.203  	746.877  	708.895  	663.890  	
9		333.625  	316.679  	347.297  	462.803  	984.215  	803.989  	860.615  	858.669  	819.474  	746.877  	705.946  	662.179  	
10		333.423  	316.679  	341.554  	455.447  	955.555  	800.534  	863.546  	855.741  	816.934  	748.695  	705.652  	660.184  	
11		332.819  	316.286  	343.188  	449.089  	910.736  	797.086  	862.242  	854.119  	810.292  	748.695  	703.887  	657.055  	
12		326.595  	312.366  	351.868  	449.089  	866.811  	797.400  	863.873  	848.619  	806.507  	748.695  	701.829  	653.934  	
13		322.414  	311.975  	372.486  	456.633  	856.077  	807.458  	865.829  	846.357  	805.877  	748.695  	697.140  	651.670  	
14		316.876  	311.975  	383.009  	467.126  	846.035  	808.086  	864.198  	844.101  	802.732  	748.695  	693.340  	645.461  	
15		318.067  	311.779  	386.261  	483.276  	839.273  	806.508  	865.829  	833.190  	802.104  	746.877  	691.589  	641.526  	
16		321.419  	309.830  	388.875  	522.888  	834.466  	814.403  	868.116  	827.108  	798.340  	744.757  	691.589  	637.042  	
17		319.641  	309.636  	392.820  	588.701  	823.608  	828.069  	873.353  	825.196  	791.774  	741.734  	691.297  	636.762  	
18		311.392  	309.830  	407.873  	619.862  	812.205  	840.910  	873.029  	822.967  	790.838  	741.130  	690.133  	636.482  	
19		311.979  	311.975  	403.411  	605.560  	786.499  	852.176  	867.789  	820.106  	787.101  	738.115  	693.340  	633.969  	
20		313.736  	314.126  	408.317  	611.323  	771.978  	856.067  	864.199  	824.878  	780.891  	737.513  	695.091  	638.162  	
21		307.695  	314.715  	398.982  	664.849  	790.840  	861.591  	863.873  	825.515  	784.613  	734.505  	695.091  	640.122  	
22		305.178  	318.650  	407.425  	705.954  	795.835  	863.873  	864.198  	826.152  	778.109  	734.205  	695.091  	640.122  	
23		304.984  	319.837  	419.583  	689.296  	789.902  	864.198  	865.829  	822.332  	769.161  	733.905  	694.799  	640.122  	
24		304.984  	326.600  	433.054  	671.624  	788.656  	865.502  	867.462  	827.108  	766.701  	730.904  	691.880  	638.722  	
25		306.145  	322.641  	430.064  	670.188  	782.130  	864.198  	869.754  	830.620  	763.634  	728.809  	691.589  	639.842  	
26		308.665  	327.995  	421.388  	662.751  	778.722  	867.463  	872.370  	833.181  	763.328  	727.013  	689.551  	639.562  	
27		312.171  	322.015  	427.408  	655.079  	781.509  	867.789  	874.338  	838.631  	763.022  	727.013  	682.874  	633.691  	
28		316.286  	321.423  	492.483  	644.907  	781.509  	865.502  	865.505  	841.846  	759.962  	727.013  	676.228  	630.069  	
29		316.679  	311.787  	544.456  	         	782.465  	864.198  	871.060  	840.881  	761.492  	727.013  	672.199  	627.013  	
30		316.286  	326.268  	635.027  	         	824.272  	864.198  	873.024  	844.101  	763.328  	726.714  	669.615  	625.073  	
31		         	364.659  	634.730e 	         	839.280  	         	868.116  	         	763.022  	723.729  	         	621.753  	
