		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		190.946  	183.546  	210.182  	186.984  	215.328  	189.881  	174.831  	188.974  	183.696  	176.586  	178.203  	176.586  	
2		190.946  	184.000  	221.213  	188.673  	217.279  	188.516  	174.831  	185.646  	182.054  	176.586  	178.203  	176.586  	
3		190.946  	188.518  	228.820  	222.676  	205.597  	182.503  	174.831  	185.495  	181.905  	176.586  	176.733  	176.586  	
4		190.946  	193.713  	224.055  	262.395  	190.804  	179.099  	173.957  	185.495  	181.905  	176.586  	176.586  	176.586  	
5		190.794  	180.584  	209.871  	256.176  	187.757  	176.148  	173.084  	185.345  	181.905  	176.586  	176.586  	176.586  	
6		189.272  	178.350  	238.653  	242.811  	190.795  	178.941  	173.084  	183.845  	181.905  	176.586  	176.586  	176.586  	
7		189.120  	178.203  	193.866  	233.187  	205.639  	178.350  	173.084  	183.099  	181.905  	176.586  	176.586  	176.586  	
8		189.120  	177.615  	193.276  	230.165  	356.858  	175.717  	173.084  	185.045  	181.905  	176.586  	176.586  	176.586  	
9		189.120  	178.350  	182.654  	218.586  	373.326  	173.084  	173.084  	183.696  	181.014  	176.586  	176.586  	176.586  	
10		189.120  	180.128  	181.905  	211.973  	324.839  	173.521  	173.084  	182.054  	180.123  	176.586  	176.586  	176.586  	
11		188.212  	181.460  	181.460  	205.910  	244.801  	175.714  	173.375  	183.100  	180.123  	176.586  	176.586  	176.586  	
12		187.758  	174.987  	181.194  	194.344  	165.020  	177.910  	176.293  	187.911  	180.123  	176.586  	176.586  	176.586  	
13		192.323  	169.476  	217.946  	191.864  	157.763  	178.350  	177.468  	189.120  	180.123  	176.586  	176.586  	176.586  	
14		192.628  	167.621  	380.580  	192.628  	157.763  	178.350  	178.350  	189.120  	180.123  	176.586  	176.586  	176.586  	
15		191.099  	176.186  	292.805  	189.278  	157.486  	178.350  	178.350  	190.033  	180.123  	176.586  	176.586  	176.586  	
16		190.946  	190.672  	192.946  	189.584  	154.730  	177.910  	178.350  	191.864  	180.123  	176.586  	176.586  	176.586  	
17		190.946  	199.284  	190.946  	198.193  	154.730  	173.521  	178.350  	192.628  	180.123  	176.586  	176.586  	176.586  	
18		190.794  	214.053  	192.173  	203.346  	158.043  	173.084  	178.350  	191.099  	180.123  	176.586  	176.586  	176.586  	
19		189.272  	222.358  	187.910  	202.092  	166.800  	173.084  	178.943  	191.711  	180.123  	176.586  	176.586  	176.586  	
20		189.120  	229.662  	187.152  	211.306  	187.934  	173.084  	186.861  	191.099  	180.123  	176.586  	176.586  	176.586  	
21		188.212  	233.352  	188.830  	220.560  	189.120  	173.084  	190.642  	190.946  	180.123  	176.586  	176.586  	176.586  	
22		187.303  	236.061  	196.325  	220.216  	189.120  	173.521  	189.272  	190.946  	180.123  	176.586  	176.586  	176.586  	
23		188.364  	235.044  	215.459  	223.506  	189.120  	177.910  	189.120  	190.033  	180.123  	176.586  	176.586  	176.586  	
24		190.947  	241.187  	228.661  	226.335  	190.493  	177.764  	190.951  	188.212  	180.123  	176.586  	176.586  	176.586  	
25		192.628  	246.702  	223.912  	210.986  	193.249  	171.927  	192.781  	186.399  	180.123  	176.586  	176.586  	176.586  	
26		192.628  	249.663  	260.853  	208.096  	190.946  	171.491  	192.781  	185.495  	180.123  	176.586  	176.586  	176.586  	
27		190.186  	233.596  	269.612  	212.755  	190.946  	172.939  	191.864  	185.495  	180.123  	176.586  	176.586  	176.586  	
28		189.120  	217.607  	259.544  	218.743  	190.033  	173.084  	190.946  	185.495  	180.123  	176.586  	176.586  	176.586  	
29		188.667  	206.689  	253.691  	         	189.120  	173.230  	189.276  	185.495  	179.975  	176.586  	176.586  	176.586  	
30		184.146  	203.818  	247.572  	         	189.120  	174.685  	189.121  	185.345  	178.351  	176.586  	176.586  	176.586  	
31		         	205.082  	235.190  	         	189.272  	         	190.794  	         	176.733  	176.733  	         	176.586  	
