		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		-   	-   	-   	442.328  	-   	-   	675.653  	652.236  	512.411  	462.336  	431.440  	373.112  	
2		-   	-   	-   	437.207  	-   	-   	659.082  	649.690  	512.661  	459.944  	431.440  	373.326  	
3		-   	-   	-   	432.130  	-   	-   	663.897  	642.369  	513.164  	458.285  	426.627  	373.326  	
4		-   	-   	-   	429.144  	-   	-   	665.892  	640.122  	518.193  	454.500  	423.660  	373.326  	
5		-   	-   	-   	428.235  	-   	-   	665.892  	640.122  	518.697  	454.028  	420.931  	373.540  	
6		-   	-   	-   	448.891  	-   	-   	666.749  	641.806  	518.697  	450.264  	418.437  	375.681  	
7		-   	-   	-   	481.933  	-   	-   	664.176  	643.210  	513.726  	448.385  	418.210  	375.467  	
8		-   	-   	-   	559.401  	-   	-   	663.890  	640.402  	464.766  	446.045  	418.210  	371.192  	
9		-   	-   	-   	749.714  	-   	-   	662.179  	638.442  	459.944  	446.045  	417.758  	370.128  	
10		-   	-   	-   	688.502  	-   	-   	660.468  	634.807  	474.410  	448.385  	414.149  	363.771  	
11		-   	-   	-   	672.496  	-   	-   	660.184  	627.574  	488.876  	448.620  	422.751  	361.875  	
12		-   	-   	-   	636.604  	-   	681.135e 	657.339  	604.253  	488.876  	448.385  	420.935  	359.775  	
13		-   	-   	418.898  	568.992  	-   	-   	657.055  	583.424  	488.876  	445.113  	418.210  	350.813  	
14		-   	-   	403.641  	552.072  	-   	700.070  	656.771  	565.364  	488.876  	435.590  	415.966  	343.802  	
15		-   	-   	402.302  	606.443  	-   	695.384  	653.651  	547.100  	488.876  	434.664  	392.393  	343.186  	
16		-   	-   	404.520  	596.706  	-   	693.049  	651.104  	533.692  	488.876  	434.664  	390.186  	343.391  	
17		-   	-   	404.310  	666.598  	-   	688.386  	656.487  	523.755  	488.876  	434.664  	391.497  	345.855  	
18		-   	-   	424.356  	678.829  	-   	687.515  	657.055  	521.475  	488.876  	433.973  	389.974  	350.188  	
19		-   	-   	427.541  	651.171  	-   	681.714  	657.339  	518.697  	488.876  	427.084  	374.831  	350.601  	
20		-   	-   	427.313  	622.616  	-   	682.873  	660.469  	516.935  	488.876  	426.169  	373.326  	349.361  	
21		-   	-   	426.640  	-   	-   	684.901  	663.605  	522.241  	488.876  	423.887  	373.326  	347.503  	
22		-   	-   	439.992  	-   	-   	689.552  	663.890  	518.445  	488.876  	423.659  	373.112  	341.346  	
23		-   	-   	447.216  	-   	-   	691.589  	663.605  	515.926  	488.876  	423.659  	370.979  	340.528  	
24		-   	-   	443.495  	-   	-   	691.297  	660.469  	515.674  	488.876  	423.659  	370.765  	338.490  	
25		-   	-   	472.166  	-   	-   	688.386  	657.339  	513.917  	488.876  	423.659  	370.765  	340.123  	
26		-   	-   	485.727  	-   	-   	689.842  	657.055  	509.907  	488.876  	423.887  	370.765  	347.503  	
27		-   	-   	523.864  	-   	-   	691.589  	658.762  	509.657  	488.876  	426.169  	370.979  	348.121  	
28		-   	-   	572.447  	-   	-   	691.589  	660.468  	509.657  	488.876  	426.397  	372.899  	348.121  	
29		-   	-   	485.901  	-   	-   	691.297  	660.468  	509.657  	488.876  	426.397  	370.979  	349.568  	
30		-   	-   	474.059  	         	-   	684.617  	660.184  	509.907  	488.876  	426.397  	370.979  	352.055  	
31		         	-   	466.632  	         	-   	         	657.055  	         	486.447  	426.855  	         	340.341  	
