		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		480.103  	469.823  	434.664  	460.181  	465.898  	465.659  	378.689  	378.474  	218.416  	206.035  	184.595  	-   	
2		477.201  	482.775  	435.126  	461.370  	465.659  	465.659  	378.473  	370.365  	217.274  	200.367  	183.696  	-   	
3		474.299  	479.861  	439.756  	464.228  	-   	465.659  	378.473  	370.128  	215.650  	194.939  	183.696  	-   	
4		474.299  	474.782  	441.615  	465.421  	465.421  	465.659  	379.767  	366.951  	215.487  	192.781  	183.696  	-   	
5		477.201  	472.375  	441.383  	462.797  	463.035  	462.802  	381.060  	360.617  	215.325  	192.781  	183.696  	-   	
6		477.201  	462.333  	437.669  	459.944  	462.559  	459.944  	381.060  	357.679  	213.708  	192.781  	183.696  	-   	
7		474.299  	448.859  	439.061  	457.336  	460.181  	459.707  	381.060  	353.507  	213.546  	192.781  	183.696  	-   	
8		474.299  	441.150  	443.011  	457.099  	459.944  	457.336  	381.060  	352.469  	213.546  	192.781  	183.546  	-   	
9		478.659  	442.313  	446.982  	457.099  	461.370  	458.522  	381.060  	344.423  	213.546  	192.781  	182.054  	-   	
10		483.019  	445.380  	452.388  	457.099  	462.797  	459.944  	381.060  	331.834  	213.546  	192.781  	181.905  	-   	
11		483.019  	469.981  	464.468  	455.682  	463.035  	459.944  	379.767  	304.967  	213.546  	192.781  	181.905  	-   	
12		483.019  	482.065  	461.372  	454.500  	464.228  	459.944  	378.258  	269.626  	214.842  	192.781  	181.905  	-   	
13		481.561  	483.020  	464.012  	456.863  	466.620  	459.944  	376.110  	246.483  	221.537  	192.628  	181.905  	-   	
14		481.318  	477.681  	461.621  	457.336  	478.410  	459.944  	375.895  	211.377  	231.850  	191.099  	181.905  	-   	
15		480.346  	474.321  	454.500  	459.707  	476.231  	459.944  	375.895  	205.594  	235.721  	190.946  	181.905  	-   	
16		480.346  	448.169  	454.264  	459.944  	480.108  	459.944  	375.895  	194.541  	238.275  	190.946  	181.905  	-   	
17		482.775  	441.618  	454.264  	459.944  	479.625  	459.944  	377.184  	191.677  	230.161  	190.946  	181.905  	-   	
18		482.533  	438.836  	455.682  	459.707  	471.892  	461.370  	378.473  	246.313  	226.826  	190.946  	181.905  	-   	
19		477.439  	450.031  	457.811  	457.336  	471.410  	462.797  	378.473  	270.511  	219.888  	190.946  	181.905  	-   	
20		474.540  	455.927  	463.275  	457.099  	469.970  	462.797  	378.473  	263.291  	219.395  	190.946  	181.756  	-   	
21		474.782  	434.920  	458.759  	457.099  	468.530  	462.797  	378.473  	259.887  	219.559  	190.946  	180.271  	-   	
22		477.930  	427.542  	457.336  	457.099  	467.095  	473.151  	378.473  	254.395  	222.187  	190.946  	180.123  	-   	
23		460.904  	423.887  	459.707  	457.099  	469.257  	485.455  	378.473  	250.013  	223.339  	190.946  	-   	-   	
24		450.736  	423.659  	463.280  	458.522  	479.620  	477.734  	378.689  	247.568  	224.331  	190.033  	-   	-   	
25		448.854  	425.257  	471.653  	460.419  	482.290  	427.443  	379.767  	244.452  	225.490  	188.212  	-   	-   	
26		451.202  	430.753  	483.275  	465.421  	477.681  	398.991  	380.845  	241.008  	227.151  	187.303  	-   	-   	
27		451.437  	442.801  	482.053  	468.051  	474.303  	389.313  	381.060  	242.386  	227.484  	187.303  	-   	-   	
28		452.851  	446.756  	466.622  	468.774  	471.410  	386.479  	381.060  	230.173  	228.819  	187.303  	-   	-   	
29		454.264  	439.061  	460.657  	469.731  	470.930  	386.044  	381.060  	224.332  	225.490  	186.399  	-   	-   	
30		454.500  	437.437  	462.559  	         	466.138  	382.359  	381.060  	220.543  	221.369  	185.495  	-   	-   	
31		         	436.051  	462.559  	         	465.659  	         	380.845  	         	215.012  	185.495  	         	-   	
