		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		124.789  	135.261  	189.694  	218.656  	167.898  	157.763  	156.104  	-   	-   	-   	-   	-   	
2		124.873  	128.064  	180.504  	213.984  	167.898  	157.763  	156.198  	-   	-   	-   	-   	-   	
3		126.038  	127.678  	179.515  	227.540  	166.728  	157.763  	157.408  	-   	-   	-   	-   	-   	
4		127.443  	126.590  	177.746  	244.420  	164.292  	157.763  	157.763  	-   	-   	-   	-   	-   	
5		128.017  	128.679  	175.786  	242.258  	161.637  	157.194  	157.763  	-   	-   	-   	-   	-   	
6		131.840  	136.062  	171.894  	212.955  	158.476  	156.104  	157.763  	-   	-   	-   	-   	-   	
7		133.727  	135.349  	167.464  	197.664  	157.763  	156.104  	157.669  	-   	-   	-   	-   	-   	
8		132.787  	136.498  	163.326  	208.222  	158.334  	156.198  	156.459  	-   	-   	-   	-   	-   	
9		134.693  	139.672  	161.011  	177.653  	160.004  	157.408  	156.104  	-   	-   	-   	-   	-   	
10		134.736  	139.471  	159.788  	169.520  	161.779  	157.669  	156.104  	-   	-   	-   	-   	-   	
11		132.873  	138.888  	159.335  	168.265  	164.507  	156.459  	156.104  	-   	-   	-   	-   	-   	
12		135.905  	146.303  	159.454  	167.898  	169.874  	156.011  	156.104  	-   	-   	-   	-   	-   	
13		136.805  	153.721  	178.319  	167.898  	171.942  	154.994  	156.104  	-   	-   	-   	-   	-   	
14		135.679  	162.000  	188.618  	167.311  	173.084  	157.054  	156.673  	-   	-   	-   	-   	-   	
15		135.349  	167.490  	184.076  	166.090  	174.683  	157.763  	157.763  	-   	-   	-   	-   	-   	
16		126.350  	171.469  	196.249  	164.848  	189.757  	157.763  	157.669  	-   	-   	-   	-   	-   	
17		130.811  	176.325  	246.884  	164.580  	187.412  	157.763  	156.459  	-   	-   	-   	-   	-   	
18		138.980  	173.457  	263.217  	166.998  	170.873  	157.194  	156.104  	-   	-   	-   	-   	-   	
19		139.829  	172.593  	261.927  	169.520  	167.704  	156.104  	156.104  	-   	-   	-   	-   	-   	
20		137.028  	166.315  	254.442  	168.168  	165.696  	156.579  	156.104  	-   	-   	-   	-   	-   	
21		135.349  	166.934  	225.971  	166.552  	171.237  	157.027  	156.104  	-   	-   	-   	-   	-   	
22		135.349  	172.515  	180.605  	166.186  	173.580  	157.763  	156.104  	-   	-   	-   	-   	-   	
23		135.875  	169.085  	181.726  	166.773  	178.492  	157.763  	156.104  	-   	-   	-   	-   	-   	
24		144.740  	164.848  	185.346  	167.801  	174.208  	157.763  	156.104  	-   	-   	-   	-   	-   	
25		159.212  	-   	188.026  	168.321  	172.887  	157.194  	156.104  	-   	-   	-   	-   	-   	
26		141.477  	168.092  	200.243  	170.559  	170.358  	156.104  	156.104  	-   	-   	-   	-   	-   	
27		135.875  	171.302  	212.788  	166.919  	169.423  	156.104  	156.104  	-   	-   	-   	-   	-   	
28		143.816  	174.457  	218.554  	166.773  	166.919  	156.104  	156.104  	-   	-   	-   	-   	-   	
29		159.263  	174.831  	227.452  	         	165.603  	156.104  	156.198  	-   	-   	-   	-   	-   	
30		150.548  	174.930  	235.976  	         	162.180  	156.104  	157.596  	-   	-   	-   	-   	-   	
31		         	188.694  	228.907  	         	157.763  	         	160.389  	         	-   	-   	         	-   	
