		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		431.899  	402.076  	397.875  	483.262  	531.642  	543.193  	748.695  	723.730  	607.823  	525.021  	500.698  	516.934  	
2		431.899  	402.076  	401.854  	483.750  	531.902  	546.299  	748.695  	720.155  	585.024  	524.767  	497.733  	512.912  	
3		431.899  	402.076  	411.484  	477.924  	527.819  	549.926  	748.695  	719.560  	579.408  	524.767  	494.523  	512.661  	
4		431.899  	402.076  	544.921  	477.924  	519.203  	557.750  	748.695  	715.997  	560.378  	524.767  	491.818  	512.661  	
5		431.899  	402.076  	555.224  	485.212  	513.919  	556.177  	748.695  	709.781  	555.654  	524.261  	489.121  	514.168  	
6		431.899  	402.076  	580.542  	487.168  	505.419  	555.654  	748.695  	709.190  	-   	519.202  	488.876  	517.186  	
7		431.899  	402.076  	569.099  	500.707  	496.510  	561.429  	748.695  	707.126  	555.654  	518.697  	491.823  	518.193  	
8		429.380  	402.076  	511.196  	516.955  	511.779  	562.990  	746.877  	702.417  	555.654  	518.697  	494.769  	513.414  	
9		416.631  	402.298  	479.257  	536.781  	703.301  	567.467  	743.246  	701.829  	552.011  	518.445  	495.262  	515.423  	
10		415.499  	404.520  	576.590  	536.294  	883.470  	563.779  	741.432  	698.896  	543.710  	515.926  	500.203  	515.674  	
11		415.499  	404.520  	634.617  	561.849  	846.113  	562.464  	741.432  	698.602  	541.646  	515.674  	500.203  	514.168  	
12		415.499  	402.298  	575.216  	666.264  	700.731  	571.973  	741.432  	698.310  	540.100  	515.674  	495.262  	511.159  	
13		423.699  	402.076  	609.224  	658.605  	636.908  	593.406  	741.130  	695.384  	541.646  	511.917  	494.769  	509.657  	
14		431.899  	402.076  	600.908  	612.461  	584.275  	656.174  	738.115  	691.593  	542.677  	501.443  	494.769  	508.159  	
15		431.899  	401.854  	530.369  	589.906  	583.346  	714.573  	737.814  	688.095  	537.273  	500.698  	494.769  	506.662  	
16		431.899  	398.095  	485.477  	562.214  	588.264  	736.612  	737.513  	684.615  	534.196  	500.698  	494.769  	505.168  	
17		430.293  	394.348  	509.934  	570.641  	572.244  	741.437  	734.505  	680.846  	533.940  	501.194  	494.769  	503.179  	
18		425.029  	394.129  	627.269  	561.977  	553.577  	742.944  	734.205  	677.957  	533.940  	506.164  	494.769  	496.744  	
19		419.798  	394.129  	648.864  	537.800  	546.299  	741.738  	732.405  	677.668  	533.684  	506.662  	494.769  	496.745  	
20		418.210  	392.813  	537.976  	523.262  	540.104  	745.059  	730.604  	677.668  	531.129  	506.662  	494.769  	489.858  	
21		419.570  	388.662  	487.446  	506.193  	549.477  	745.059  	730.604  	677.668  	530.874  	506.662  	494.769  	488.876  	
22		420.930  	382.359  	461.858  	490.840  	564.572  	745.059  	731.205  	677.668  	530.619  	505.168  	491.823  	488.876  	
23		420.930  	378.689  	459.002  	499.958  	574.881  	745.059  	737.212  	677.668  	528.325  	503.675  	488.876  	488.876  	
24		420.930  	378.473  	471.661  	503.925  	588.909  	747.181  	737.814  	677.668  	531.130  	503.675  	488.876  	488.876  	
25		420.930  	378.473  	460.896  	512.167  	621.787  	752.036  	737.814  	677.668  	536.246  	503.427  	491.343  	488.387  	
26		419.118  	383.893  	462.802  	515.674  	588.554  	752.340  	737.814  	677.668  	534.196  	500.946  	519.229  	483.506  	
27		409.220  	391.060  	466.858  	519.215  	562.494  	750.518  	738.115  	677.668  	533.940  	498.966  	524.767  	483.019  	
28		403.188  	386.051  	479.138  	540.110  	546.046  	750.518  	741.131  	677.668  	533.684  	495.016  	523.247  	482.775  	
29		399.418  	378.905  	483.019  	         	534.709  	752.036  	740.829  	673.642  	531.129  	495.262  	521.727  	480.346  	
30		399.643  	379.767  	485.699  	         	538.309  	748.999  	734.506  	655.969  	530.619  	500.203  	520.212  	480.103  	
31		         	386.717  	485.699  	         	541.904  	         	730.306  	         	527.816  	500.698  	         	480.103  	
